Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,785,12.5,11.4,13.6,"3,494",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,01,BO1,CAT1,_RFBLDS2,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,"4,737",87.5,86.4,88.6,"3,495",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,01,BO1,CAT1,_RFBLDS2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,Overall,Overall,400,7.7,6.7,8.7,"3,534",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,01,BO1,CAT1,_RFBLDS3,RESP190,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,Overall,Overall,"4,100",92.3,91.3,93.3,"3,535",%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,01,BO1,CAT1,_RFBLDS3,RESP191,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,019",67.6,65.9,69.3,"3,574",%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,01,BO1,CAT1,_RFSIGM2,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,626",32.4,30.7,34.1,"3,575",%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,01,BO1,CAT1,_RFSIGM2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,Overall,Overall,"3,046",64.6,62.7,66.6,"3,614",%,Crude Prevalence,,,BRFSS,CLASS04,Topic64,01,BO1,CAT1,_CRCREC,RESP192,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Colorectal Cancer Screening,USPSTF Recommendations,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,Overall,Overall,"1,404",35.4,33.4,37.3,"3,615",%,Crude Prevalence,,,BRFSS,CLASS04,Topic64,01,BO1,CAT1,_CRCREC,RESP193,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,18-24 years,Overall,Overall,439,13,11.7,14.3,"1,349",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP010,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,25-34 years,Overall,Overall,759,16.5,15.2,17.8,"1,350",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP011,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,35-44 years,Overall,Overall,896,16,14.8,17.2,"1,351",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP012,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,45-54 years,Overall,Overall,"1,421",17.4,16.3,18.5,"1,352",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP013,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,55-64 years,Overall,Overall,"2,001",16.9,15.9,17.9,"1,353",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP014,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Demographics,Age,What is your age?,65+ years,Overall,Overall,"3,136",20.2,19.3,21.1,"1,354",%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,01,BO1,CAT1,AGE,RESP015,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,Yes,Overall,Overall,"7,825",86.1,84.9,87.3,162,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,01,BO1,CAT1,HLTHPLN1,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Overall,Overall,806,13.9,12.7,15.1,163,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,01,BO1,CAT1,HLTHPLN1,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"4,650",82.5,81.1,84,208,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,01,BO1,CAT1,_HCVU651,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Overall,Overall,790,17.5,16,19,209,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,01,BO1,CAT1,_HCVU651,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,942",64.2,61.9,66.4,"3,045",%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,01,BO1,CAT1,_FLSHOT6,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,Overall,Overall,"1,081",35.9,33.6,38.1,"3,046",%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,01,BO1,CAT1,_FLSHOT6,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,972",67,64.7,69.3,"3,083",%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,01,BO1,CAT1,_PNEUMO2,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,Overall,Overall,958,33,30.7,35.3,"3,084",%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,01,BO1,CAT1,_PNEUMO2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,624,22.2,20.2,24.2,"1,170",%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,BO1,CAT1,_ALTETH2,RESP046,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Overall,Overall,"2,392",77.8,75.8,79.8,"1,171",%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,BO1,CAT1,_ALTETH2,RESP054,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,"1,196",49.6,46.9,52.4,"3,454",%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,01,BO1,CAT1,_RFPSA21,RESP046,"(32.84057112200048, -86.63186076199969)"
